id,nome_original,nome_canonico_proposto,nome_normalizado_chave,plataforma,categoria_atual,subcategoria_atual,papel_catalogo_proposto,escopo_mercado,mercado_principal_proposto,submercado_proposto,mercados_relacionados_propostos,orientacao_b2b_b2c,tipos_sinal_propostos,estagios_funil_propostos,confianca_regra,acao_migracao
83,Pessoas com comportamento de compra ativo para produtos de pet shop e serviços relacionados a animais de estimação,Pessoas com comportamento de compra ativo para produtos de pet shop e serviços relacionados a animais de estimação,pessoas com comportamento de compra ativo para produtos de pet shop e servicos relacionados a animais de estimacao,Programática,Consumo & Varejo,Amantes de Pets,conceito de audiência,vertical,Varejo & Consumo,Pets,"Entretenimento, Conteúdo & Esportes",B2C,,,média,mapear
84,"Pessoas interessadas em moda, beleza e estilo pessoal","Pessoas interessadas em moda, beleza e estilo pessoal","pessoas interessadas em moda, beleza e estilo pessoal",Programática,Saúde & Bem-estar,"Beleza & Cosméticos (Skincare, Maquiagem)",conceito de audiência,vertical,Varejo & Consumo,"Moda, beleza e acessórios","Saúde, Bem-estar & Beleza",B2C,interesse/afinidade,Conhecimento | Consideração,média,mapear
85,"Audiência especial da Navegg interessada em saúde e beleza, focada em ""Dia do Consumidor"".","saúde e beleza, focada em ""Dia do Consumidor""","audiencia especial da navegg interessada em saude e beleza, focada em ""dia do consumidor"".",Programática,Saúde & Bem-estar,"Beleza & Cosméticos (Skincare, Maquiagem)",conceito de audiência,vertical,"Saúde, Bem-estar & Beleza",Saúde e prevenção,,B2C,interesse/afinidade,Conhecimento | Consideração,alta,mapear
86,"Mulheres com alta probabilidade de compra de cosméticos, baseadas em dados de compras de bens de consumo embalados (CPG)","Mulheres com alta probabilidade de compra de cosméticos, baseadas em dados de compras de bens de consumo embalados (CPG)","mulheres com alta probabilidade de compra de cosmeticos, baseadas em dados de compras de bens de consumo embalados (cpg)",Programática,Saúde & Bem-estar,"Beleza & Cosméticos (Skincare, Maquiagem)",conceito de audiência,vertical,Varejo & Consumo,"Moda, beleza e acessórios",,B2C,demográfico/socioeconômico,,alta,mapear
87,"Homens prováveis compradores de cosméticos, baseados em dados de compras de bens de consumo embalados (CPG) na categoria de saúde e beleza.","Homens prováveis compradores de cosméticos, baseados em dados de compras de bens de consumo embalados (CPG) na categoria de saúde e beleza","homens provaveis compradores de cosmeticos, baseados em dados de compras de bens de consumo embalados (cpg) na categoria de saude e beleza.",Programática,Saúde & Bem-estar,"Beleza & Cosméticos (Skincare, Maquiagem)",conceito de audiência,vertical,Varejo & Consumo,Compradores e e-commerce,"Saúde, Bem-estar & Beleza",B2C,compra/consumo observado,Consideração | Conversão,média,mapear
88,Interesse em Home-Building: Pessoas interessadas em construção e casa.,Interesse em Home-Building: Pessoas interessadas em construção e casa,interesse em home-building: pessoas interessadas em construcao e casa.,Programática,B2B & Indústria,Construção & Reforma,conceito de audiência,vertical,Imobiliário & Construção,"Construção, reforma e materiais",,B2C,interesse/afinidade,Conhecimento | Consideração,alta,mapear
89,In-Market Home and Building: Pessoas atualmente buscando ou pesquisando por coisas relacionadas a casa e construção,In-Market Home and Building: Pessoas atualmente buscando ou pesquisando por coisas relacionadas a casa e construção,in-market home and building: pessoas atualmente buscando ou pesquisando por coisas relacionadas a casa e construcao,Programática,B2B & Indústria,Construção & Reforma,conceito de audiência,vertical,Imobiliário & Construção,"Construção, reforma e materiais",,B2C,intenção de compra,Consideração | Conversão,alta,mapear
90,In-Market Materiais de Construção: Pessoas atualmente buscando ou pesquisando por materiais de construção.,In-Market Materiais de Construção: Pessoas atualmente buscando ou pesquisando por materiais de construção,in-market materiais de construcao: pessoas atualmente buscando ou pesquisando por materiais de construcao.,Programática,B2B & Indústria,Construção & Reforma,conceito de audiência,vertical,Imobiliário & Construção,"Construção, reforma e materiais",,B2C,intenção de compra,Consideração | Conversão,alta,mapear
91,Sócios de Empresas de Atividades Imobiliárias,Sócios de Empresas de Atividades Imobiliárias,socios de empresas de atividades imobiliarias,Programática,B2B & Indústria,Investidores Imobiliários,conceito de audiência,vertical,Imobiliário & Construção,Empresas e profissionais imobiliários,"B2B, Enterprise & Indústria",B2B,empresa/firmográfico | demográfico/socioeconômico,,média,mapear
92,Everybuyer Casa e Construção: Compradores frequentes e interessados em produtos e serviços relacionados a casa e construção.,Everybuyer Casa e Construção: Compradores frequentes e interessados em produtos e serviços relacionados a casa e construção,everybuyer casa e construcao: compradores frequentes e interessados em produtos e servicos relacionados a casa e construcao.,Programática,B2B & Indústria,Investidores Imobiliários,conceito de audiência,vertical,Imobiliário & Construção,Compra e lançamentos,Varejo & Consumo,B2C,compra/consumo observado | interesse/afinidade,Conhecimento | Consideração | Conversão,média,mapear
93,Audiências Especiais Navegg - Imóveis Casa Nova,Imóveis Casa Nova,audiencias especiais navegg - imoveis casa nova,Programática,B2B & Indústria,Investidores Imobiliários,conceito de audiência,vertical,Imobiliário & Construção,Compra e lançamentos,,Transversal/indefinido,,,alta,mapear
94,"Público-alvo Navegg no mercado de Saúde, interessado em cuidados para bebês e higiene infantil.",cuidados para bebês e higiene infantil,"publico-alvo navegg no mercado de saude, interessado em cuidados para bebes e higiene infantil.",Programática,Saúde & Bem-estar,Maternidade & Cuidados com o Bebê,conceito de audiência,vertical,"Saúde, Bem-estar & Beleza",Saúde e prevenção,"Entretenimento, Conteúdo & Esportes",B2C,interesse/afinidade,Conhecimento | Consideração,média,mapear
95,"Público-alvo Navegg no mercado de Saúde, interessado em higiene pessoal.",higiene pessoal,"publico-alvo navegg no mercado de saude, interessado em higiene pessoal.",Programática,Saúde & Bem-estar,Alimentação Saudável & Dietas,conceito de audiência,vertical,"Saúde, Bem-estar & Beleza",Saúde e prevenção,,B2C,interesse/afinidade,Conhecimento | Consideração,alta,mapear
96,"Pessoas interessadas em investimentos no mercado de ações, incluindo bolsa de valores, ações de crescimento e de alta e baixa capitalização.","Pessoas interessadas em investimentos no mercado de ações, incluindo bolsa de valores, ações de crescimento e de alta e baixa capitalização","pessoas interessadas em investimentos no mercado de acoes, incluindo bolsa de valores, acoes de crescimento e de alta e baixa capitalizacao.",Programática,Finanças & Seguros,"Investimentos (Ações, Fundos)",conceito de audiência,vertical,Finanças & Seguros,Investimentos e patrimônio,"Entretenimento, Conteúdo & Esportes",B2C,interesse/afinidade,Conhecimento | Consideração,média,mapear
97,Pessoas interessadas em investimentos no mercado de ações e finanças em geral.,Pessoas interessadas em investimentos no mercado de ações e finanças em geral,pessoas interessadas em investimentos no mercado de acoes e financas em geral.,Programática,Finanças & Seguros,"Investimentos (Ações, Fundos)",conceito de audiência,vertical,Finanças & Seguros,Investimentos e patrimônio,,B2C,interesse/afinidade,Conhecimento | Consideração,alta,mapear
98,"Consumidores com afinidade por finanças e investimentos, especificamente interessados em negociação de ações online","Consumidores com afinidade por finanças e investimentos, especificamente interessados em negociação de ações online","consumidores com afinidade por financas e investimentos, especificamente interessados em negociacao de acoes online",Programática,Finanças & Seguros,"Investimentos (Ações, Fundos)",conceito de audiência,vertical,Finanças & Seguros,Investimentos e patrimônio,"Entretenimento, Conteúdo & Esportes",B2C,compra/consumo observado | demográfico/socioeconômico | interesse/afinidade,Conhecimento | Consideração | Conversão,média,mapear
99,"Público B2B no setor financeiro, com interesse em investimentos.","Público B2B no setor financeiro, com interesse em investimentos","publico b2b no setor financeiro, com interesse em investimentos.",Programática,Finanças & Seguros,"Investimentos (Ações, Fundos)",conceito de audiência,vertical,Finanças & Seguros,Investimentos e patrimônio,"B2B, Enterprise & Indústria",B2B,interesse/afinidade,Conhecimento | Consideração,média,mapear
100,"Público interessado em futebol no Brasil, na América Latina.","Público interessado em futebol no Brasil, na América Latina","publico interessado em futebol no brasil, na america latina.",Programática,Entretenimento & Mídia,Gamers (Jogadores de PC/Console),conceito de audiência,vertical,"Entretenimento, Conteúdo & Esportes",Esportes e futebol,,B2C,interesse/afinidade,Conhecimento | Consideração,alta,mapear
101,"Fãs de esportes, abrange interesses em diversos esportes.","Fãs de esportes, abrange interesses em diversos esportes","fas de esportes, abrange interesses em diversos esportes.",Programática,Entretenimento & Mídia,Gamers (Jogadores de PC/Console),contexto/afinidade de conteúdo,vertical,"Entretenimento, Conteúdo & Esportes",Esportes e futebol,,B2C,interesse/afinidade,Conhecimento | Consideração,alta,mapear
102,"Público amplo interessado em esportes, compradores gerais.","Público amplo interessado em esportes, compradores gerais","publico amplo interessado em esportes, compradores gerais.",Programática,Entretenimento & Mídia,Gamers (Jogadores de PC/Console),conceito de audiência,vertical,Varejo & Consumo,Compradores e e-commerce,"Entretenimento, Conteúdo & Esportes",B2C,compra/consumo observado | interesse/afinidade,Conhecimento | Consideração | Conversão,média,mapear
103,"Público global com interesse em futebol, através de parceiros Terra e VivoAds.","Público global com interesse em futebol, através de parceiros Terra e VivoAds","publico global com interesse em futebol, atraves de parceiros terra e vivoads.",Programática,Entretenimento & Mídia,Gamers (Jogadores de PC/Console),conceito de audiência,vertical,"Entretenimento, Conteúdo & Esportes",Esportes e futebol,,Transversal/indefinido,interesse/afinidade,Conhecimento | Consideração,alta,mapear
104,Público no mercado para comprar camisas de times de futebol,Público no mercado para comprar camisas de times de futebol,publico no mercado para comprar camisas de times de futebol,Programática,Entretenimento & Mídia,Gamers (Jogadores de PC/Console),conceito de audiência,vertical,"Entretenimento, Conteúdo & Esportes",Esportes e futebol,,Transversal/indefinido,,,alta,mapear
105,Público altamente apaixonado e viciado em futebol,Público altamente apaixonado e viciado em futebol,publico altamente apaixonado e viciado em futebol,Programática,Entretenimento & Mídia,Gamers (Jogadores de PC/Console),conceito de audiência,vertical,"Entretenimento, Conteúdo & Esportes",Esportes e futebol,,Transversal/indefinido,,,alta,mapear
106,"Pessoas cursando ensino médio profissionalizante, com interesse em educação, falantes de português","Pessoas cursando ensino médio profissionalizante, com interesse em educação, falantes de português","pessoas cursando ensino medio profissionalizante, com interesse em educacao, falantes de portugues",Programática,Educação & Carreira,Cursos Profissionalizantes & Idiomas,conceito de audiência,vertical,Educação & Carreira,Ensino básico e famílias,"Entretenimento, Conteúdo & Esportes | B2B, Enterprise & Indústria",Híbrido,cargo/função profissional | interesse/afinidade,Conhecimento | Consideração,média,mapear
107,"Pessoas cursando ensino médio, com interesse em educação, falantes de português.","Pessoas cursando ensino médio, com interesse em educação, falantes de português","pessoas cursando ensino medio, com interesse em educacao, falantes de portugues.",Programática,Educação & Carreira,Cursos Profissionalizantes & Idiomas,conceito de audiência,vertical,Educação & Carreira,Ensino básico e famílias,"Entretenimento, Conteúdo & Esportes",B2C,interesse/afinidade,Conhecimento | Consideração,média,mapear
108,"Adultos com interesse em educação, buscando cursos ou informações sobre educação para adultos","Adultos com interesse em educação, buscando cursos ou informações sobre educação para adultos","adultos com interesse em educacao, buscando cursos ou informacoes sobre educacao para adultos",Programática,Educação & Carreira,Ensino Superior (Graduação & Pós),conceito de audiência,vertical,Finanças & Seguros,Investimentos e patrimônio,"Educação & Carreira | Entretenimento, Conteúdo & Esportes",B2C,intenção de compra | interesse/afinidade,Conhecimento | Consideração | Conversão,média,mapear
109,Pessoas com intenção de compra de cursos online ou matrículas em escolas,Pessoas com intenção de compra de cursos online ou matrículas em escolas,pessoas com intencao de compra de cursos online ou matriculas em escolas,Programática,Educação & Carreira,Ensino Superior (Graduação & Pós),conceito de audiência,vertical,Educação & Carreira,Ensino básico e famílias,,B2C,intenção de compra,Consideração | Conversão,alta,mapear
110,Pessoas com interesse em aprender ou praticar línguas estrangeiras,Pessoas com interesse em aprender ou praticar línguas estrangeiras,pessoas com interesse em aprender ou praticar linguas estrangeiras,Programática,Educação & Carreira,Cursos Profissionalizantes & Idiomas,conceito de audiência,vertical,Educação & Carreira,Outros / revisar,"B2B, Enterprise & Indústria",B2C,interesse/afinidade,Conhecimento | Consideração,média,mapear
111,Profissionais Qualificados e Conectados,Profissionais Qualificados e Conectados,profissionais qualificados e conectados,Programática,Educação & Carreira,Ensino Superior (Graduação & Pós),conceito de audiência,vertical,"B2B, Enterprise & Indústria",Outros / revisar,,B2B,cargo/função profissional,,média,mapear
112,Interesse em nutrição e alimentação infantil,Interesse em nutrição e alimentação infantil,interesse em nutricao e alimentacao infantil,Programática,Consumo & Varejo,Foodies & Gourmets,conceito de audiência,vertical,"Saúde, Bem-estar & Beleza",Nutrição e alimentação saudável,"Entretenimento, Conteúdo & Esportes",Transversal/indefinido,interesse/afinidade,Conhecimento | Consideração,média,mapear
113,Compradores frequentes de alimentos e bebidas,Compradores frequentes de alimentos e bebidas,compradores frequentes de alimentos e bebidas,Programática,Consumo & Varejo,Foodies & Gourmets,conceito de audiência,vertical,Varejo & Consumo,Compradores e e-commerce,,B2C,compra/consumo observado,Consideração | Conversão,alta,mapear
114,Pessoas com afinidade pela marca Yoshinoya e interessadas em fast food,Pessoas com afinidade pela marca Yoshinoya e interessadas em fast food,pessoas com afinidade pela marca yoshinoya e interessadas em fast food,Programática,Consumo & Varejo,Foco em Comida Rápida (Fast Food),conceito de audiência,vertical,Varejo & Consumo,"Alimentos, bebidas e gastronomia",,B2C,demográfico/socioeconômico | interesse/afinidade,Conhecimento | Consideração,alta,mapear
115,Usuários de aplicativos de entrega de comida (Delivery),Usuários de aplicativos de entrega de comida (Delivery),usuarios de aplicativos de entrega de comida (delivery),Programática,Consumo & Varejo,Consumidores de Delivery,conceito de audiência,vertical,Varejo & Consumo,Supermercados e delivery,,Transversal/indefinido,compra/consumo observado,Consideração | Conversão,alta,mapear
116,Interesse em alimentação saudável e bem-estar,Interesse em alimentação saudável e bem-estar,interesse em alimentacao saudavel e bem-estar,Programática,Consumo & Varejo,Foodies & Gourmets,conceito de audiência,vertical,"Saúde, Bem-estar & Beleza",Nutrição e alimentação saudável,"Entretenimento, Conteúdo & Esportes",Transversal/indefinido,interesse/afinidade,Conhecimento | Consideração,média,mapear
117,Trabalhadores do Agronegócio e Indústria em Pequenas Cidades,Trabalhadores do Agronegócio e Indústria em Pequenas Cidades,trabalhadores do agronegocio e industria em pequenas cidades,Programática,Consumo & Varejo,Público Eco-consciente / Sustentável,conceito de audiência,vertical,Agronegócio,Outros / revisar,"B2B, Enterprise & Indústria",B2B,empresa/firmográfico | demográfico/socioeconômico,,média,mapear
118,Profissionais Agroindústria Sustentável Brasil,Profissionais Agroindústria Sustentável Brasil,profissionais agroindustria sustentavel brasil,Programática,Consumo & Varejo,Alta Renda,conceito de audiência,vertical,"B2B, Enterprise & Indústria",Indústria e manufatura,,B2B,cargo/função profissional | empresa/firmográfico,,alta,mapear
120,"Produtores rurais, com dados demográficos fornecidos pela Serasa Experian.","Produtores rurais, com dados demográficos fornecidos pela","produtores rurais, com dados demograficos fornecidos pela serasa experian.",Programática,Consumo & Varejo,Alta Renda,conceito de audiência,vertical,Agronegócio,Produtores rurais,,Transversal/indefinido,,,alta,mapear
124,Interesse em Agronegócios e Setor Agro,Interesse em Agronegócios e Setor Agro,interesse em agronegocios e setor agro,Programática,B2B & Indústria,Negócios para Agronegócios,conceito de audiência,vertical,Agronegócio,Outros / revisar,,Transversal/indefinido,interesse/afinidade,Conhecimento | Consideração,média,mapear
125,Interesse em Pecuária,Interesse em Pecuária,interesse em pecuaria,Programática,B2B & Indústria,Pecuária para Agronegócios,conceito de audiência,vertical,Agronegócio,Pecuária,,Transversal/indefinido,interesse/afinidade,Conhecimento | Consideração,alta,mapear
126,Profissionais em Agronegócios e Veterinária,Profissionais em Agronegócios e Veterinária,profissionais em agronegocios e veterinaria,Programática,B2B & Indústria,Veterinária para Agronegócios,conceito de audiência,vertical,Agronegócio,Veterinária e saúde animal,"B2B, Enterprise & Indústria",B2B,cargo/função profissional,,média,mapear
127,Audiência Especial de Agronegócio (Predicta),Agronegócio,audiencia especial de agronegocio (predicta),Programática,B2B & Indústria,Negócios para Agronegócios,conceito de audiência,vertical,Agronegócio,Outros / revisar,,Transversal/indefinido,,,média,mapear
128,Pessoas com intenção de compra de equipamentos agrícolas e para agroindústria,Pessoas com intenção de compra de equipamentos agrícolas e para agroindústria,pessoas com intencao de compra de equipamentos agricolas e para agroindustria,Programática,B2B & Indústria,Serviços e Equipamentos para Agronegócios,conceito de audiência,vertical,Agronegócio,Máquinas e equipamentos,"B2B, Enterprise & Indústria",Híbrido,intenção de compra | empresa/firmográfico,Consideração | Conversão,média,mapear
129,Audiência Especial RankMyApp/Banco ABC focada em Agronegócio,Agronegócio,audiencia especial rankmyapp/banco abc focada em agronegocio,Programática,B2B & Indústria,Negócios para Agronegócios,conceito de audiência,vertical,Agronegócio,Outros / revisar,Finanças & Seguros,Transversal/indefinido,,,média,mapear
130,Audiência Especial de Agronegócio (Redmedia),Agronegócio (Redmedia),audiencia especial de agronegocio (redmedia),Programática,B2B & Indústria,Negócios para Agronegócios,conceito de audiência,vertical,Agronegócio,Outros / revisar,,Transversal/indefinido,,,média,mapear
131,"Público interessado em agronegócio, especificamente no setor de fertilizantes e insumos agrícolas","Público interessado em agronegócio, especificamente no setor de fertilizantes e insumos agrícolas","publico interessado em agronegocio, especificamente no setor de fertilizantes e insumos agricolas",Programática,B2B & Indústria,Fertilizantes para Agronegócios,conceito de audiência,vertical,Agronegócio,Insumos e fertilizantes,,B2C,interesse/afinidade,Conhecimento | Consideração,alta,mapear
132,Profissionais do setor de Logística e Transportes,Profissionais do setor de Logística e Transportes,profissionais do setor de logistica e transportes,Programática,Mobilidade,Profissionais com interesse em transportes,conceito de audiência,vertical,"Automotivo, Mobilidade & Logística",Logística e transporte de cargas,"B2B, Enterprise & Indústria",B2B,cargo/função profissional,,média,mapear
133,Empresas com intenção de compra de serviços de logística e transporte,Empresas com intenção de compra de serviços de logística e transporte,empresas com intencao de compra de servicos de logistica e transporte,Programática,Mobilidade,Negócios e serviços,conceito de audiência,vertical,"Automotivo, Mobilidade & Logística",Compra e troca de veículos,"B2B, Enterprise & Indústria",Híbrido,intenção de compra | empresa/firmográfico,Consideração | Conversão,média,mapear
134,Visitantes físicos da Drogaria Boa Saúde no Brasil,Visitantes físicos da Drogaria Boa Saúde no Brasil,visitantes fisicos da drogaria boa saude no brasil,Programática,Saúde & Bem-estar,Fitness & Esportes (Praticantes),conceito de audiência,vertical,"Saúde, Bem-estar & Beleza",Saúde e prevenção,,B2C,visitação/localização,Consideração | Conversão,alta,mapear
135,Interesse em Saúde e Bem-estar identificado em múltiplos dispositivos,Interesse em Saúde e Bem-estar identificado em múltiplos dispositivos,interesse em saude e bem-estar identificado em multiplos dispositivos,Programática,Saúde & Bem-estar,Fitness & Esportes (Praticantes),conceito de audiência,vertical,"Saúde, Bem-estar & Beleza",Saúde e prevenção,,Transversal/indefinido,interesse/afinidade,Conhecimento | Consideração,alta,mapear
136,Pessoas com intenção de compra de Utensílios Médicos (dados Buscapé),Pessoas com intenção de compra de Utensílios Médicos (dados Buscapé),pessoas com intencao de compra de utensilios medicos (dados buscape),Programática,Saúde & Bem-estar,Utensílios médicos,conceito de audiência,vertical,"Saúde, Bem-estar & Beleza",Produtos e equipamentos médicos,,B2C,intenção de compra,Consideração | Conversão,alta,mapear
137,Audiência semelhante (Lookalike) a interessados em Plano de Saúde,Audiência semelhante (Lookalike) a interessados em Plano de Saúde,audiencia semelhante (lookalike) a interessados em plano de saude,Programática,Saúde & Bem-estar,Planos de saúde,tática de ativação,transversal,,,"Saúde, Bem-estar & Beleza",B2C,modelado/lookalike | interesse/afinidade,Conhecimento | Consideração,alta,mapear
138,Audiência sazonal para o Dia do Consumidor interessada em Saúde e Beleza,Audiência sazonal para o Dia do Consumidor interessada em Saúde e Beleza,audiencia sazonal para o dia do consumidor interessada em saude e beleza,Programática,Saúde & Bem-estar,Fitness & Esportes (Praticantes),conceito de audiência,vertical,"Saúde, Bem-estar & Beleza",Saúde e prevenção,,B2C,interesse/afinidade,Conhecimento | Consideração,alta,mapear
139,Pessoas com intenção de compra de Plano de Saúde,Pessoas com intenção de compra de Plano de Saúde,pessoas com intencao de compra de plano de saude,Programática,Saúde & Bem-estar,Planos de saúde,conceito de audiência,vertical,"Saúde, Bem-estar & Beleza",Saúde e prevenção,,B2C,intenção de compra,Consideração | Conversão,alta,mapear
140,"Profissionais de Arquitetura, Decoração e Urbanismo (Dados Serasa Experian)","Profissionais de Arquitetura, Decoração e Urbanismo","profissionais de arquitetura, decoracao e urbanismo (dados serasa experian)",Programática,B2B & Indústria,Construção & Reforma,conceito de audiência,vertical,Imobiliário & Construção,"Arquitetura, decoração e urbanismo","Entretenimento, Conteúdo & Esportes | B2B, Enterprise & Indústria",B2B,cargo/função profissional,,média,mapear
141,Profissionais de Engenharia e Arquitetura (Dados Boa Vista SCPC),Profissionais de Engenharia e Arquitetura,profissionais de engenharia e arquitetura (dados boa vista scpc),Programática,B2B & Indústria,Construção & Reforma,conceito de audiência,vertical,Imobiliário & Construção,"Arquitetura, decoração e urbanismo","B2B, Enterprise & Indústria",B2B,cargo/função profissional,,média,mapear
142,"Interessados em Arquitetura, Construção ou Reforma (Lookalike)","Interessados em Arquitetura, Construção ou Reforma (Lookalike)","interessados em arquitetura, construcao ou reforma (lookalike)",Programática,B2B & Indústria,Construção & Reforma,tática de ativação,transversal,,,Imobiliário & Construção,B2C,modelado/lookalike | interesse/afinidade,Conhecimento | Consideração,alta,mapear
144,"Público brasileiro com afinidade em viagem e turismo, utilizando dados da Serasa Experian.",Público brasileiro com afinidade em viagem e turismo,"publico brasileiro com afinidade em viagem e turismo, utilizando dados da serasa experian.",Programática,Mobilidade,Viajantes a Lazer (Nacional),conceito de audiência,vertical,Serviços ao Consumidor,Turismo e hospitalidade,,Transversal/indefinido,demográfico/socioeconômico | interesse/afinidade,Conhecimento | Consideração,alta,mapear
145,"Usuários com interesse em viagens, baseado em dados do parceiro Catraca Livre.",Usuários com interesse em viagens,"usuarios com interesse em viagens, baseado em dados do parceiro catraca livre.",Programática,Mobilidade,Viajantes a Lazer (Nacional),conceito de audiência,vertical,Serviços ao Consumidor,Turismo e hospitalidade,,Transversal/indefinido,interesse/afinidade,Conhecimento | Consideração,alta,mapear
